epoch,accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5963420867919922,0.7583961486816406,0.6289256811141968,0.7287926077842712,0.9603440165519714,0.5752719044685364,0.6087786555290222,0.9445681571960449,0.389809787273407,0.7285176515579224,0.9946236610412598,0.4755783975124359
1,0.6761978268623352,0.892877459526062,0.6666730046272278,0.5304843783378601,0.9873638153076172,0.6485403776168823,0.7347328066825867,0.9629439115524292,0.4886876344680786,0.5778495073318481,0.9921259880065918,0.647814929485321
2,0.695002555847168,0.9174777865409851,0.6753512620925903,0.4781382083892822,0.9919080138206482,0.6665712594985962,0.7709923386573792,0.9679710865020752,0.5118659138679504,0.5283330082893372,0.9926739931106567,0.6966580748558044
3,0.7143225073814392,0.9165705442428589,0.6922599077224731,0.46626001596450806,0.9889298677444458,0.6903262734413147,0.8129770755767822,0.9710654616355896,0.5393287539482117,0.4838412404060364,0.993220329284668,0.7532133460044861
4,0.7385368347167969,0.9204240441322327,0.7094665765762329,0.44885873794555664,0.9889546632766724,0.717515766620636,0.8206107020378113,0.9727125763893127,0.5394909381866455,0.4767002761363983,0.996632993221283,0.7609254717826843
5,0.7581143975257874,0.9312410950660706,0.7217946648597717,0.4126461148262024,0.9900268316268921,0.7386949062347412,0.8358778357505798,0.9748166799545288,0.5503919720649719,0.4461592137813568,0.9934853315353394,0.7840616703033447
6,0.7849046587944031,0.9397811889648438,0.7387016415596008,0.3787175118923187,0.9900479316711426,0.7687464356422424,0.8492366671562195,0.9746357798576355,0.5558542013168335,0.4291650652885437,0.9967948794364929,0.7994858622550964
7,0.7921174764633179,0.9356485605239868,0.7428677678108215,0.38551628589630127,0.9915843605995178,0.7756153345108032,0.8702290058135986,0.9752928018569946,0.5717250108718872,0.395727276802063,0.9938461780548096,0.8303341865539551
8,0.8104069828987122,0.9536322355270386,0.7530177235603333,0.3343847095966339,0.9921484589576721,0.7956497073173523,0.8835877776145935,0.9777587652206421,0.5790329575538635,0.37117260694503784,0.9939758777618408,0.8483290672302246
9,0.8194229602813721,0.9519518613815308,0.7578941583633423,0.3333366811275482,0.992940366268158,0.8050944209098816,0.8950381875038147,0.9777206778526306,0.5910397171974182,0.34875693917274475,0.9854651093482971,0.8714653253555298
10,0.8341061472892761,0.9551535844802856,0.767159104347229,0.3139972686767578,0.9934210777282715,0.8211219310760498,0.8988549709320068,0.978377640247345,0.5930995941162109,0.32634416222572327,0.9855491518974304,0.8766067028045654
11,0.8405461311340332,0.9480530023574829,0.7728358507156372,0.32740649580955505,0.9914529919624329,0.829994261264801,0.902671754360199,0.9784537553787231,0.5910109281539917,0.33115312457084656,0.9912790656089783,0.8766067028045654
12,0.8436372876167297,0.95020592212677,0.7762070894241333,0.3184376657009125,0.9891562461853027,0.8354321718215942,0.9064885377883911,0.9799581170082092,0.5930654406547546,0.3169174790382385,0.9913294911384583,0.8817480802536011
13,0.8526532649993896,0.9534618854522705,0.7819625735282898,0.30712637305259705,0.9892833232879639,0.8454493284225464,0.9007633328437805,0.9803580045700073,0.5882611274719238,0.3360845446586609,0.9941349029541016,0.8714653253555298
14,0.854714035987854,0.9645972847938538,0.7786163687705994,0.27446067333221436,0.9935984015464783,0.8440183401107788,0.9160305261611938,0.9802628755569458,0.6017142534255981,0.290174663066864,0.98591548204422,0.8997429013252258
15,0.8670788407325745,0.9584508538246155,0.7886279225349426,0.28773513436317444,0.9920687079429626,0.8591871857643127,0.9236640930175781,0.9809387922286987,0.6057401895523071,0.28456035256385803,0.9860724210739136,0.9100257158279419
16,0.870169997215271,0.9625963568687439,0.7912029027938843,0.27005213499069214,0.9904855489730835,0.8640526533126831,0.9179389476776123,0.9820432066917419,0.5988967418670654,0.28089040517807007,0.9914772510528564,0.897172212600708
17,0.873776376247406,0.9643372297286987,0.7925862669944763,0.26373374462127686,0.9918140172958374,0.866914689540863,0.9293892979621887,0.9832905530929565,0.6065772771835327,0.2584593892097473,0.9888888597488403,0.9151670932769775
18,0.8706852197647095,0.9676186442375183,0.789807140827179,0.2531062066555023,0.9927536249160767,0.8626216650009155,0.9293892979621887,0.9837093949317932,0.606669008731842,0.25461041927337646,0.9888888597488403,0.9151670932769775
19,0.8809891939163208,0.9618605971336365,0.796576976776123,0.26680445671081543,0.9922077655792236,0.8746422529220581,0.9312977194786072,0.9837666153907776,0.6095138192176819,0.24250145256519318,0.9862259030342102,0.9203084707260132
